_id,State,Constituency,Party,Candidate Name,,,,
282,Andhra Pradesh,Ongole,Independent,JAGADEESH RAYAPATI,,,,
283,Andhra Pradesh,Ongole,Jai Bharat National Party,ORSU VEENA,,,,
284,Andhra Pradesh,Ongole,Telugu Desam,MAGUNTA SREENIVASULU REDDY,,,,
285,Andhra Pradesh,Ongole,Independent,DEVIREDDY BALANJANEYULU,,,,
286,Andhra Pradesh,Ongole,Indian National Congress,EDA SUDHAKARA REDDY,,,,
287,Andhra Pradesh,Ongole,Yuvajana Sramika Rythu Congress Party,DR CHEVIREDDY BHASKAR REDD,,,,
288,Andhra Pradesh,Ongole,Samajwadi Party,PASAM VENKATESWARLU YADAV,,,,
289,Andhra Pradesh,Ongole,Jatiya Jana Sena Party,K PAVAN KALYAN,,,,
290,Andhra Pradesh,Ongole,Liberation Congress Party,KOMMU YOHANU,,,,
291,Andhra Pradesh,Ongole,Pyramid Party of India,SURYA TEJA KOTA,,,,
292,Andhra Pradesh,Ongole,Bahujan Samaj Party,DHARANIKOTA LAKSHMI NARAYANA,,,,
293,Andhra Pradesh,Ongole,Independent,BONTHA RANGA REDDY,,,,
294,Andhra Pradesh,Ongole,Independent,BODDU KRANTHI KUMAR,,,,
295,Andhra Pradesh,Ongole,Independent,AKUMALLA MALLIKARJUNA REDDY,,,,
296,Andhra Pradesh,Ongole,Independent,BUCHI EDUKONDALU,,,,
297,Andhra Pradesh,Nandyal,Liberation Congress Party,CHANDINI REDDY VAKATI,,,,
298,Andhra Pradesh,Nandyal,All India Forward Bloc,YELAMPALLE GOVARDHAN REDDY,,,,
299,Andhra Pradesh,Nandyal,Independent,C SURENDRA NATHA REDDY,,,,
300,Andhra Pradesh,Nandyal,Jai Maha Bharath Party,GOGULA SUGUNAMMA,,,,
301,Andhra Pradesh,Nandyal,Independent,U P MUNI REDDY,,,,
302,Andhra Pradesh,Nandyal,Navarang Congress Party,BHUMA VEERA BHADRA REDDY,,,,
303,Andhra Pradesh,Nandyal,Social Democratic Party Of India,HAFIZ ATAULLAH KHAN,,,,
304,Andhra Pradesh,Nandyal,Independent,BUSHAKU MAHESWARA REDDY,,,,
305,Andhra Pradesh,Nandyal,Samajwadi Party,PANDU RANGA YADAV SIDDAPU,,,,
306,Andhra Pradesh,Nandyal,Indian National Congress,J LAKSHMI NARASIMHA YADAV,,,,
307,Andhra Pradesh,Nandyal,Jaathia Chethi Vruthula Ikya Vedika Party,UPPU SUBBARAYUDU,,,,
308,Andhra Pradesh,Nandyal,Independent,KOMMUSANI PEDDA KAMBAGIRI SWAMY,,,,
309,Andhra Pradesh,Nandyal,Independent,NAGESWARA RAO,,,,
310,Andhra Pradesh,Nandyal,Telugu Desam,DR BYREDDY SHABARI,,,,
311,Andhra Pradesh,Nandyal,Anna YSR Congress Party,GAJULA SHALIMIYA,,,,
312,Andhra Pradesh,Nandyal,Independent,P GURUVAIAH,,,,
313,Andhra Pradesh,Nandyal,Independent,GAGGERA VENKATA RAMANAIAH,,,,
314,Andhra Pradesh,Nandyal,Independent,E ANIL KUMAR,,,,
315,Andhra Pradesh,Nandyal,Independent,BRAHMANANDA REDDY K,,,,
316,Andhra Pradesh,Nandyal,Independent,KUNUKUNTLA RAMUDU,,,,
317,Andhra Pradesh,Nandyal,Yuvajana Sramika Rythu Congress Party,POCHA BRAHMANANDA REDDY,,,,
318,Andhra Pradesh,Nandyal,Independent,I V PAKKIR REDDY,,,,
319,Andhra Pradesh,Nandyal,Independent,B C RAMANADHA AREDDY,,,,
320,Andhra Pradesh,Nandyal,Independent,BELLAMKONDA SREENIVASULU,,,,
321,Andhra Pradesh,Nandyal,Independent,V MADHUSUDHANA REDDY,,,,
322,Andhra Pradesh,Nandyal,Bahujan Samaj Party,A CHINNA MOULALI,,,,
323,Andhra Pradesh,Nandyal,Independent,DUMAVATH SWAMY NAIK,,,,
324,Andhra Pradesh,Nandyal,Neethi Nijayithi Party,KULURU RAMA KRISHNA REDDY,,,,
325,Andhra Pradesh,Nandyal,Independent,VIJAYA BHASKAR REDDYPOGU,,,,
326,Andhra Pradesh,Nandyal,Independent,BALIJA SHIVA KUMAR,,,,
327,Andhra Pradesh,Nandyal,Independent,CH P MALLESWARUDU,,,,
328,Andhra Pradesh,Kurnoolu,Jai Bharat National Party,SUNKARA SREEDHAR,,,,
329,Andhra Pradesh,Kurnoolu,Social Democratic Party Of India,JAHANGIR AHMED,,,,
330,Andhra Pradesh,Kurnoolu,Independent,PAGADALA KODANDA,,,,
331,Andhra Pradesh,Kurnoolu,Telugu Desam,BASTIPATI NAGARAJU PANCHALINGALA,,,,
332,Andhra Pradesh,Kurnoolu,Independent,BOYA SURESH,,,,
333,Andhra Pradesh,Kurnoolu,Independent,DEVARAPOGU MADDILETY,,,,
334,Andhra Pradesh,Kurnoolu,Indian National Congress,P.G.RAMPULLAIAH YADAV LUCKY-2,,,,
335,Andhra Pradesh,Kurnoolu,Independent,PRAKASH REDDY RALAMPADU,,,,
336,Andhra Pradesh,Kurnoolu,Independent,DR. REDDYPOGU PRAVEEN KUMAR,,,,
337,Andhra Pradesh,Kurnoolu,Bahujan Samaj Party,MANCHALA LAKSHMI NARAYANA,,,,
338,Andhra Pradesh,Kurnoolu,Anna YSR Congress Party,ABDUL SATTAR  A.S.R,,,,
339,Andhra Pradesh,Kurnoolu,Bharatha Chaitanya Yuvajana Party,VALMIKI ARJUNA,,,,
340,Andhra Pradesh,Kurnoolu,Yuvajana Sramika Rythu Congress Party,B Y RAMAIAH,,,,
341,Andhra Pradesh,Kurnoolu,Liberation Congress Party,AMRUTH KUMAR SALKAPURAM,,,,
342,Andhra Pradesh,Kurnoolu,All Peoples Party,TARIGOPULA RAJABABU,,,,
343,Andhra Pradesh,Kurnoolu,Independent,URUKUNDU VADDE,,,,
344,Andhra Pradesh,Kurnoolu,Independent,VIJAYA BHASKAR .REDDYPOGU,,,,
345,Andhra Pradesh,Kurnoolu,Socialist Unity Centre Of India (COMMUNIST),MALLEPOGU NAGANNA,,,,
346,Andhra Pradesh,Kurnoolu,Independent,T. BEECHUPALLI,,,,
347,Andhra Pradesh,Ananthapur,Pyramid Party of India,M.SURENDRA,,,,
348,Andhra Pradesh,Ananthapur,Yuvajana Sramika Rythu Congress Party,MALAGUNDLA SANKAR NARAYANA,,,,
349,Andhra Pradesh,Ananthapur,Bahujan Samaj Party,BANASI NARAYANAPPA,,,,
350,Andhra Pradesh,Ananthapur,Jaibhim Rao Bharat Party,RAMAVTH CHINNA RAMAPPA NAIK,,,,
351,Andhra Pradesh,Ananthapur,Challengers Party,DURGA PRASAD D BYATARAYANAJI,,,,
352,Andhra Pradesh,Ananthapur,Independent,VADLA KESAVAIAH,,,,
353,Andhra Pradesh,Ananthapur,Independent,V.MURALI PRASAD REDDY,,,,
354,Andhra Pradesh,Ananthapur,Telugu Desam,AMBICA G LAKSHMINARAYANA VALMIKI,,,,
355,Andhra Pradesh,Ananthapur,Jaathia Chethi Vruthula Ikya Vedika Party,U.C.VENKATASUBBAIAH,,,,
356,Andhra Pradesh,Ananthapur,Indian National Congress,MALLIKARJUNA VAJJALA,,,,
357,Andhra Pradesh,Ananthapur,All India Kisan Janatha party,KURUBA MALLIKARJUNA.S.,,,,
358,Andhra Pradesh,Ananthapur,Independent,B.RAGHAVENDRA PRASAD,,,,
359,Andhra Pradesh,Ananthapur,Independent,KETHIREDDY RAGHUNATHAREDDY,,,,
360,Andhra Pradesh,Ananthapur,Andhra Rastra Praja Samithi,DR.NALLANI RAMESH NAIDU,,,,
361,Andhra Pradesh,Ananthapur,Independent,LOKANATH GOWD SURAGOWINI,,,,
362,Andhra Pradesh,Ananthapur,Samajwadi Party,SHAIK.NIZAM,,,,
363,Andhra Pradesh,Ananthapur,Independent,G.V.RAMANA REDDY,,,,
364,Andhra Pradesh,Ananthapur,Bhartiya Panchyat Party,SRINIVASA RAJU.O,,,,
365,Andhra Pradesh,Ananthapur,Independent,P.CHOWDESWARI,,,,
366,Andhra Pradesh,Ananthapur,Socialist Unity Centre Of India (COMMUNIST),B.NAGAMUTHYALU,,,,
367,Andhra Pradesh,Ananthapur,Independent,SREERANGARAJULA GOPINATH ROYAL,,,,
368,Andhra Pradesh,Hindupur,Independent,PRATHAP REDDY GORLA,,,,
369,Andhra Pradesh,Hindupur,Independent,H D HANUMANTHE GOWD,,,,
370,Andhra Pradesh,Hindupur,Independent,S N SURESH,,,,
371,Andhra Pradesh,Hindupur,Telugu Desam,B K PARTHASARATHI,,,,
372,Andhra Pradesh,Hindupur,Independent,T SUDHAKAR REDDY,,,,
373,Andhra Pradesh,Hindupur,National Nava Kranthi Party,BUDILI DHANUNJAYA,,,,
374,Andhra Pradesh,Hindupur,Indian National Congress,B A SAMAD SHAHEEN,,,,
375,Andhra Pradesh,Hindupur,Bahujan Samaj Party,BHAGYA R S,,,,
376,Andhra Pradesh,Hindupur,Yuvajana Sramika Rythu Congress Party,J SHANTHA,,,,
377,Andhra Pradesh,Hindupur,Independent,DASAGANIPALLI KULLAYAPPA,,,,
378,Andhra Pradesh,Hindupur,Revolutionary Socialist Party,ANJINAPPA GARI SREENIVASULU,,,,
379,Andhra Pradesh,Hindupur,Independent,S RAGHUNATHA REDDY,,,,
380,Andhra Pradesh,Hindupur,Socialist Unity Centre Of India (COMMUNIST),ASHOK,,,,
381,Andhra Pradesh,Kadapa,Jaibhim Rao Bharat Party,PALLE RAMESH,,,,
382,Andhra Pradesh,Kadapa,Bahujan Samaj Party,PANDITI. GURAPPA.,,,,
383,Andhra Pradesh,Kadapa,Independent,KAKARLA SHANMUKHA REDDY,,,,
384,Andhra Pradesh,Kadapa,All India Forward Bloc,ANKIREDDY. SURESH KUMAR REDDY.,,,,
385,Andhra Pradesh,Kadapa,Independent,CHINNAPUREDDY GOPALA KRISHNA REDDY,,,,
386,Andhra Pradesh,Kadapa,Telugu Desam,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,,,,
387,Andhra Pradesh,Kadapa,Jana Sahayaka Sakthi,MALIKIREDDY. HANUMANTHA REDDY,,,,
388,Andhra Pradesh,Kadapa,Rashtriya Praja Congress  (Secular),VENU GOPAL RACHINENI,,,,
389,Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party,Y. S. AVINASH REDDY,,,,
390,Andhra Pradesh,Kadapa,Independent,L. KHAJA HUSSAIN,,,,
391,Andhra Pradesh,Kadapa,Indian National Congress,Y.S. SHARMILA REDDY,,,,
392,Andhra Pradesh,Kadapa,Independent,KUNCHAM. VENKATA SUBBA REDDY,,,,
393,Andhra Pradesh,Kadapa,Rayalaseema Rashtra Samithi,KUNCHAM. VENKATA SUBBA REDDY,,,,
394,Andhra Pradesh,Kadapa,Jaathia Chethi Vruthula Ikya Vedika Party,J. V. RAMANA,,,,
395,Andhra Pradesh,Kadapa,Anna YSR Congress Party,CHAN BASHA. S,,,,
396,Andhra Pradesh,Nellore,Revolutionary Socialist Party,VIVEKA MANNEPALLI,,,,
397,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,VENUMBAKA VIJAYASAI REDDY,,,,
398,Andhra Pradesh,Nellore,Jaibhim Rao Bharat Party,TALARI VENKATAIAH,,,,
399,Andhra Pradesh,Nellore,Bharatha Chaitanya Yuvajana Party,NAKKA DINESH,,,,
400,Andhra Pradesh,Nellore,Jai Bharat National Party,GAJULA SOMA SEKHAR,,,,
401,Andhra Pradesh,Nellore,Telugu Desam,PRABHAKAR REDDY VEMIREDDY,,,,
402,Andhra Pradesh,Nellore,Independent,VENUMBAKA SUNANDA REDDY,,,,
403,Andhra Pradesh,Nellore,Radical Party of India (Ambedkarist),PUNGANURU PRASANNA GANAPATHI,,,,
404,Andhra Pradesh,Nellore,Navarang Congress Party,MALLEPALLY RAGHU,,,,
405,Andhra Pradesh,Nellore,Pyramid Party of India,SHAIK MUZIBUR RAHAMAN,,,,
406,Andhra Pradesh,Nellore,Bahujan Samaj Party,BHASKAR NASINA,,,,
407,Andhra Pradesh,Nellore,All India Forward Bloc,SHAIK SHAFI AHMED,,,,
408,Andhra Pradesh,Nellore,Independent,KOPPALA RAGHU,,,,
409,Andhra Pradesh,Nellore,Indian National Congress,KOPPULA RAJU,,,,
410,Andhra Pradesh,Nellore,Republican Party of India (A),SHAIK MAHABOOB BASHA (MABU),,,,
411,Andhra Pradesh,Thirupathi(SC),Independent,C. PUNYAMURTHY,,,,
412,Andhra Pradesh,Thirupathi(SC),Independent,K. JEEVARATHNAM,,,,
413,Andhra Pradesh,Thirupathi(SC),Independent,ALLAM.RAJA,,,,
414,Andhra Pradesh,Thirupathi(SC),Independent,PRASAD PATIBANDLA,,,,
415,Andhra Pradesh,Thirupathi(SC),United Republican Party of India,C. PUNYAMURTHY,,,,
416,Andhra Pradesh,Thirupathi(SC),Yuvajana Sramika Rythu Congress Party,GURUMOORTHY MADDILA,,,,
417,Andhra Pradesh,Thirupathi(SC),Jatiya Jana Sena Party,A. VARAPRASAD,,,,
418,Andhra Pradesh,Thirupathi(SC),Pyramid Party of India,KARRA SIVA,,,,
419,Andhra Pradesh,Thirupathi(SC),Samajwadi Party,VELURU. THEJOVATHI,,,,
420,Andhra Pradesh,Thirupathi(SC),Bahujan Samaj Party,PENUMURU. GURAPPA,,,,
421,Andhra Pradesh,Thirupathi(SC),Bharatiya Janata Party,VARA PRASAD RAO VELAGAPALLI,,,,
422,Andhra Pradesh,Thirupathi(SC),Aihra National Party,SYAMDHAN KURAPATI,,,,
423,Andhra Pradesh,Thirupathi(SC),Independent,Y. MAHESH,,,,
424,Andhra Pradesh,Thirupathi(SC),Independent,VIJAYA KUMAR.G,,,,
425,Andhra Pradesh,Thirupathi(SC),Ambedkar National Congress,B. BHARANI BAS,,,,
426,Andhra Pradesh,Thirupathi(SC),Independent,DASARI. GOWTHAM,,,,
427,Andhra Pradesh,Thirupathi(SC),Republican Party of India (A),ANJAIAH.P,,,,
428,Andhra Pradesh,Thirupathi(SC),Independent,KATTAMANCHI. PRABHAKAR,,,,
429,Andhra Pradesh,Thirupathi(SC),Jai Hindustan Party,A. MADHU,,,,
430,Andhra Pradesh,Thirupathi(SC),Indian Believers Party (IBP),C. DAVID,,,,
431,Andhra Pradesh,Thirupathi(SC),Liberation Congress Party,VIJAY KUMAR G.SRKR,,,,
432,Andhra Pradesh,Thirupathi(SC),Janata Congress,M UMADEVI,,,,
433,Andhra Pradesh,Thirupathi(SC),Independent,V.C. NAVEEN GUPTA,,,,
434,Andhra Pradesh,Thirupathi(SC),Indian National Congress,CHINTA MOHAN,,,,
435,Andhra Pradesh,Rajampet,Independent,CHOUDVARAM SUBBANARASAIAH,,,,
436,Andhra Pradesh,Rajampet,Independent,PULI SREENIVASULU,,,,
437,Andhra Pradesh,Rajampet,Independent,POOLA REDDY SEKHAR,,,,
438,Andhra Pradesh,Rajampet,Indian National Congress,SHAIK BASHEED,,,,
439,Andhra Pradesh,Rajampet,Independent,SREENIVASULU MARRIPATI,,,,
440,Andhra Pradesh,Rajampet,Liberation Congress Party,MAYANA MOHAMMED SALMAN KHAN,,,,
441,Andhra Pradesh,Rajampet,Bharatiya Janata Party,NALLARI KIRAN KUMAR REDDY,,,,
442,Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party,P V MIDHUN REDDY,,,,
443,Andhra Pradesh,Rajampet,All India Forward Bloc,PRADEEP PENAMADU,,,,
444,Andhra Pradesh,Rajampet,Independent,NAGARAJU JETTI,,,,
445,Andhra Pradesh,Rajampet,Anna YSR Congress Party,AKBAR M BASHA,,,,
446,Andhra Pradesh,Rajampet,Jaathia Chethi Vruthula Ikya Vedika Party,MADA RAJA,,,,
447,Andhra Pradesh,Rajampet,Bahujan Samaj Party,ABBAVARAM UGENDRA,,,,
448,Andhra Pradesh,Rajampet,Jai Bharat National Party,BATTHALA RAMANAIAH,,,,
449,Andhra Pradesh,Rajampet,Independent,KASTURI OBAIAH NAIDU,,,,
450,Andhra Pradesh,Rajampet,Independent,SANGARAJU NAGESWARA RAJU,,,,
451,Andhra Pradesh,Rajampet,Independent,DODDAPANENI RAJA NAIDU,,,,
452,Andhra Pradesh,Rajampet,Independent,ASADI VENKATADRI,,,,
453,Andhra Pradesh,Chittoor(SC),Independent,D.MAHESH,,,,
454,Andhra Pradesh,Chittoor(SC),Indian National Congress,MOTUKUR JAGAPATHI,,,,
455,Andhra Pradesh,Chittoor(SC),Telugu Desam,DAGGUMALLA PRASADA RAO,,,,
456,Andhra Pradesh,Chittoor(SC),Independent,BANDAPALLI RAMESH,,,,
457,Andhra Pradesh,Chittoor(SC),Independent,YUGANDAR . KONDA,,,,
458,Andhra Pradesh,Chittoor(SC),Independent,N.CHANDRABABU,,,,
459,Andhra Pradesh,Chittoor(SC),Independent,PETA.MOHAN .,,,,
460,Andhra Pradesh,Chittoor(SC),Independent,C.SUDHAKAR,,,,
461,Andhra Pradesh,Chittoor(SC),Independent,N.BHUPATHI,,,,
462,Andhra Pradesh,Chittoor(SC),Independent,A. PURNA CHANDRA,,,,
463,Andhra Pradesh,Chittoor(SC),Samajwadi Party,PALLIPATTU.ABHINAV VISHNU,,,,
464,Andhra Pradesh,Chittoor(SC),Independent,N.GANGAIAH .,,,,
465,Andhra Pradesh,Chittoor(SC),Independent,P.MADHU,,,,
466,Andhra Pradesh,Chittoor(SC),Independent,MADASI SUDHARSHAN,,,,
467,Andhra Pradesh,Chittoor(SC),Independent,T NARESH,,,,
468,Andhra Pradesh,Chittoor(SC),Bahujan Samaj Party,THOGURU VIJAYA KUMAR,,,,
469,Andhra Pradesh,Chittoor(SC),Independent,K.MUNI KRISHNA,,,,
470,Andhra Pradesh,Chittoor(SC),National Maha Sabha Party,P.JANAKI RAMA RAO ( BABU),,,,
471,Andhra Pradesh,Chittoor(SC),Yuvajana Sramika Rythu Congress Party,REDDEPPA.N .,,,,
472,Arunachal Pradesh,Arunachal West,Independent,RUHI TAGUNG,,,,
473,Arunachal Pradesh,Arunachal West,Independent,TANIA JUNE,,,,
474,Arunachal Pradesh,Arunachal West,Independent,BIMPAK SIGA,,,,
475,Arunachal Pradesh,Arunachal West,Gana Suraksha Party,TOKO SHEETAL,,,,
476,Arunachal Pradesh,Arunachal West,Indian National Congress,NABAM TUKI,,,,
477,Arunachal Pradesh,Arunachal West,Bharatiya Janata Party,KIREN RIJIJU,,,,
478,Arunachal Pradesh,Arunachal West,Independent,TECHI RANA,,,,
479,Arunachal Pradesh,Arunachal West,Independent,LEKI NORBU,,,,
480,Arunachal Pradesh,Arunachal East,Independent,TAMAT GAMOH,,,,
481,Arunachal Pradesh,Arunachal East,Arunachal Democratic Party,BANDEY MILI,,,,
482,Arunachal Pradesh,Arunachal East,Independent,SOTAI KRI,,,,
483,Arunachal Pradesh,Arunachal East,Independent,OMAK NITIK,,,,
484,Arunachal Pradesh,Arunachal East,Indian National Congress,BOSIRAM SIRAM,,,,
485,Arunachal Pradesh,Arunachal East,Bharatiya Janata Party,TAPIR GAO,,,,
486,Assam,Kokrajhar,Independent,PANKAJ ISLARY,,,,
487,Assam,Kokrajhar,Gana Suraksha Party,BINITA DEKA,,,,
488,Assam,Kokrajhar,Bodoland Peoples Front,KAMPA BORGOYARI,,,,
489,Assam,Kokrajhar,Independent,TRIPTINA RABHA,,,,
490,Assam,Kokrajhar,"United Peopleâs Party, Liberal",JOYANTA BASUMATARY,,,,
491,Assam,Kokrajhar,All India Trinamool Congress,GAURI SANKAR SARANIA,,,,
492,Assam,Kokrajhar,Independent,PRITHVIRAJ NARAYAN DEV MECH,,,,
493,Assam,Kokrajhar,Independent,AJOY NARZARY,,,,
494,Assam,Kokrajhar,Indian National Congress,GARJAN MASHAHARY,,,,
495,Assam,Kokrajhar,Independent,JYOTISH KUMAR DAS,,,,
496,Assam,Kokrajhar,Independent,RANJAY KR BRAHMA,,,,
497,Assam,Kokrajhar,Voters Party  International,LALIT PEGU,,,,
498,Assam,Dhubri,Independent,BISWAJIT RAY,,,,
499,Assam,Dhubri,Hindu Samaj Party,RADHARANI BISWAS,,,,
500,Assam,Dhubri,Bharatiya Gana Parishad,S. M. JIAUL HAQUE,,,,
501,Assam,Dhubri,Independent,ALAKESH ROY,,,,
502,Assam,Dhubri,Indian National Congress,RAKIBUL HUSSAIN,,,,
503,Assam,Dhubri,Asom Gana Parishad,ZABED ISLAM,,,,
504,Assam,Dhubri,Republican Party of India (Athawale),REJAUL KARIM,,,,
505,Assam,Dhubri,Voters Party  International,TAHIDUR RAHMAN,,,,
506,Assam,Dhubri,All India United Democratic Front,MOHAMMED BADRUDDIN AJMAL,,,,
507,Assam,Dhubri,Asom Jana Morcha,SHUKUR ALI,,,,
508,Assam,Dhubri,Socialist Unity Centre Of India (COMMUNIST),SURAT ZAMAN MONDAL,,,,
509,Assam,Dhubri,Independent,FARUK KHAN,,,,
510,Assam,Dhubri,The National Road Map Party of India,HAFIZ BURHANUDDIN,,,,
511,Assam,Barpeta,Bodoland Peoples Front,SAMEJ UDDIN,,,,
512,Assam,Barpeta,Independent,DEWAN MOHIBUL ISLAM,,,,
513,Assam,Barpeta,Independent,MATIAR RAHMAN,,,,
514,Assam,Barpeta,All India Trinamool Congress,ABUL KALAM AZAD,,,,
515,Assam,Barpeta,Independent,JAGANNATH RAY,,,,
516,Assam,Barpeta,Communist Party of India  (Marxist),MANORANJAN TALUKDAR,,,,
517,Assam,Barpeta,Rashtriya Ulama Council,ABUBAKKAR SIDDIQUE,,,,
518,Assam,Barpeta,Independent,AYNAL HAQUE,,,,
519,Assam,Barpeta,Republican Party of India (Athawale),AMZAD ALI,,,,
520,Assam,Barpeta,Socialist Unity Centre Of India (COMMUNIST),CHITRALEKHA DAS,,,,
521,Assam,Barpeta,Voters Party  International,SHAJAHAN ALI KHAN,,,,
522,Assam,Barpeta,Asom Gana Parishad,PHANI BHUSAN CHOUDHURY,,,,
523,Assam,Barpeta,Indian National Congress,DEEP BAYAN,,,,
524,Assam,Barpeta,Independent,DULU AHMED,,,,
525,Assam,Darrang-Udalguri,Independent,DANIEL MARDI,,,,
526,Assam,Darrang-Udalguri,Rashtriya Ulama Council,ABDUL HAMED,,,,
527,Assam,Darrang-Udalguri,Bharatheeya Jawan Kisan Party,AROON BAROOA,,,,
528,Assam,Darrang-Udalguri,Bharatiya Janata Party,DILIP SAIKIA,,,,
529,Assam,Darrang-Udalguri,Bharatiya Gana Parishad,BIREN BASAK,,,,
530,Assam,Darrang-Udalguri,Gana Suraksha Party,SWARNA DEVI,,,,
531,Assam,Darrang-Udalguri,Indian National Congress,MADHAB RAJBANGSHI,,,,
532,Assam,Darrang-Udalguri,Republican Party of India (Athawale),ABUL KASEM,,,,
533,Assam,Darrang-Udalguri,Socialist Unity Centre Of India (COMMUNIST),JITENDRA CHALIHA,,,,
534,Assam,Darrang-Udalguri,Bodoland Peoples Front,DURGADAS BORO,,,,
535,Assam,Darrang-Udalguri,Voters Party  International,LALIT PEGU,,,,
536,Assam,Guwahati,Bharatiya Janata Party,BIJULI KALITA  MEDHI,,,,
537,Assam,Guwahati,Bahujan Maha Party,SHEJON GOYARY,,,,
538,Assam,Guwahati,Bharatiya Gana Parishad,SAMAD CHOUDHURY,,,,
539,Assam,Guwahati,Independent,KAZI NEKIB  AHMED,,,,
540,Assam,Guwahati,Independent,COLONEL GOKUL CHANDRA SINGHA,,,,
541,Assam,Guwahati,Voters Party  International,DIPAK KR BORO,,,,
542,Assam,Guwahati,Ekam Sanatan Bharat Dal,AMITABH SARMA,,,,
543,Assam,Guwahati,Indian National Congress,MIRA BORTHAKUR GOSWAMI,,,,
544,Assam,Diphu,Autonomous State Demand Committee,JOTSON BEY,,,,
545,Assam,Diphu,Gana Suraksha Party,JOHN BARNARD SANGMA,,,,
546,Assam,Diphu,Bharatiya Janata Party,AMARSING TISSO,,,,
547,Assam,Diphu,Indian National Congress,JOY RAM ENGLENG,,,,
548,Assam,Diphu,Independent,J. I. KATHAR,,,,
549,Assam,Karimganj,Independent,MUZAKKIR HASAN LASKAR,,,,
550,Assam,Karimganj,Independent,ALIM UDDIN MAZUMDER,,,,
551,Assam,Karimganj,Rashtriya Ulama Council,AHAD UDDIN,,,,
552,Assam,Karimganj,Independent,MD. NAZRUL ISLAM LASKAR,,,,
553,Assam,Karimganj,Independent,ROSID AHMED LASKAR,,,,
554,Assam,Karimganj,Independent,JIBESH DEB,,,,
555,Assam,Karimganj,Independent,DEBOJYOTI NATH,,,,
556,Assam,Karimganj,Independent,ABDUL KALAM MAZUMDER,,,,
557,Assam,Karimganj,Bangali Nabanirman Sena,DEBASHISH GHOSH,,,,
558,Assam,Karimganj,Independent,ABDUL BASIT TAPADAR,,,,
559,Assam,Karimganj,Independent,ABDUS  SUBHAN TAPADAR,,,,
560,Assam,Karimganj,Independent,SAHEL AHMED,,,,
561,Assam,Karimganj,Indian National Congress,HAFIZ RASHID AHMED CHOUDHURY,,,,
562,Assam,Karimganj,Independent,RASHID AHMED CHOUDHURY,,,,
563,Assam,Karimganj,Independent,GOPAL CHANDRA PAUL,,,,
564,Assam,Karimganj,Independent,SAFIKUR RAHMAN HAZARI,,,,
565,Assam,Karimganj,Independent,ROKIBUL HUSSAIN CHOUDHURY,,,,
566,Assam,Karimganj,Independent,ABDUL HAMEED,,,,
567,Assam,Karimganj,Independent,ABDUL GOFFAR TALUKDAR,,,,
568,Assam,Karimganj,Bharatiya Janata Party,KRIPANATH MALLAH,,,,
569,Assam,Karimganj,All India United Democratic Front,SAHABUL ISLAM CHOUDHURY,,,,
570,Assam,Karimganj,Independent,BINAY KRISHNA ROY,,,,
571,Assam,Karimganj,Independent,DILIP KUMAR,,,,
572,Assam,Karimganj,Socialist Unity Centre Of India (COMMUNIST),PRAJJWAL SUDIP DEB,,,,
573,Assam,Silchar,Bahujan Maha Party,RAJIB DAS,,,,
574,Assam,Silchar,Independent,ANANTA MOHAN ROY,,,,
575,Assam,Silchar,Indian National Congress,SURYA KANTA SARKAR,,,,
576,Assam,Silchar,Bharatiya Janata Party,PARIMAL SUKLABAIDYA,,,,
577,Assam,Silchar,Bangali Nabanirman Sena,BARINDRA KUMAR DAS,,,,
578,Assam,Silchar,Socialist Unity Centre Of India (COMMUNIST),PROBASH CHANDRA SARKAR,,,,
579,Assam,Silchar,Independent,RAJU DAS,,,,
580,Assam,Silchar,All India Trinamool Congress,RADHESHYAM BISWAS,,,,
581,Assam,Nagaon,Independent,ABU SHAMA,,,,
582,Assam,Nagaon,Independent,NIKHIL DEKARAJA,,,,
583,Assam,Nagaon,Independent,SAMSUL ALAM,,,,
584,Assam,Nagaon,All India United Democratic Front,AMINUL ISLAM,,,,
585,Assam,Nagaon,Bharatiya Gana Parishad,SANTANU MUKHERJEE,,,,
586,Assam,Nagaon,Independent,BIPAD BHANJAN SARKAR,,,,
587,Assam,Nagaon,Rashtriya Ulama Council,RABBUL HAQUE,,,,
588,Assam,Nagaon,Indian National Congress,PRADYUT BORDOLOI,,,,
589,Assam,Nagaon,Bharatiya Janata Party,SURESH BORAH,,,,
590,Assam,Nagaon,Independent,ABU EUSUF MD RAIHAN UDDIN,,,,
591,Assam,Nagaon,Jai Prakash Janata Dal,ANUPAM BARUAH,,,,
592,Assam,Nagaon,Independent,SIKHA SARMA,,,,
593,Assam,Nagaon,Asom Jana Morcha,SAIFUL ISLAM CHOUDHURY,,,,
594,Assam,Kaziranga,Republican Party of India (Athawale),SALEH AHMED MAZUMDAR,,,,
595,Assam,Kaziranga,Voters Party  International,ANIMA DEKA GUPTA,,,,
596,Assam,Kaziranga,Asom Jana Morcha,SALIM AHMED,,,,
597,Assam,Kaziranga,Independent,TRIDIV JYOTI BHUYAN,,,,
598,Assam,Kaziranga,Independent,JYOTISKA RANJAN GOSWAMI,,,,
